Datetime,Open,High,Low,Close,Volume
2021-09-17T00:00:00,692.0,692.0,668.7,682.3,7804735
2021-09-20T00:00:00,669.9,669.9,628.1,633.2,10340874
2021-09-21T00:00:00,633.25,672.0,628.7,668.95,14289169
2021-09-22T00:00:00,671.8,683.4,666.2,678.55,8147214
2021-09-23T00:00:00,685.3,687.25,674.1,677.25,4039612
2021-09-24T00:00:00,677.25,679.0,650.75,659.15,7363339
2021-09-27T00:00:00,660.45,663.75,646.3,648.65,5889365
2021-09-28T00:00:00,650.0,667.9,648.1,660.85,4735779
2021-09-29T00:00:00,658.9,684.3,653.6,679.8,7345149
2021-09-30T00:00:00,683.2,683.2,666.35,668.3,4934499
2021-10-01T00:00:00,660.0,686.7,658.9,674.25,5193048
2021-10-04T00:00:00,674.5,686.8,662.1,681.15,5617530
2021-10-05T00:00:00,681.15,690.85,677.15,679.35,4186464
2021-10-06T00:00:00,680.0,684.0,655.55,659.25,5994344
2021-10-07T00:00:00,666.0,670.0,659.0,666.55,3042177
2021-10-08T00:00:00,670.05,683.0,664.5,665.85,3826818
2021-10-11T00:00:00,671.05,678.0,666.7,672.4,2257738
2021-10-12T00:00:00,672.4,681.0,665.4,673.75,2930894
2021-10-13T00:00:00,673.8,692.0,671.0,681.45,5601758
2021-10-14T00:00:00,690.0,699.0,682.95,692.85,4751065
2021-10-18T00:00:00,695.5,727.3,695.5,715.8,9493244
2021-10-19T00:00:00,722.5,722.5,688.45,691.55,4164143
2021-10-20T00:00:00,692.0,695.7,675.4,685.15,3256699
2021-10-21T00:00:00,691.35,693.95,655.1,674.1,5811087
2021-10-22T00:00:00,676.0,690.0,658.05,667.8,10162556
2021-10-25T00:00:00,670.0,678.0,653.05,674.25,3987950
2021-10-26T00:00:00,678.7,697.45,674.5,694.35,4238644
2021-10-27T00:00:00,694.35,699.5,682.1,684.9,3330934
2021-10-28T00:00:00,682.9,684.4,664.05,667.45,3080237
2021-10-29T00:00:00,670.0,684.8,663.0,669.15,3612552
2021-11-01T00:00:00,680.0,690.75,672.5,688.95,3234840
2021-11-02T00:00:00,693.4,693.4,671.5,672.85,3204544
2021-11-03T00:00:00,677.45,683.55,673.55,680.25,2265795
2021-11-04T00:00:00,680.95,685.0,677.15,678.65,352700
2021-11-08T00:00:00,683.0,687.95,668.05,685.85,2919045
2021-11-09T00:00:00,686.0,691.35,675.15,676.65,2494969
2021-11-10T00:00:00,675.0,676.05,652.2,662.4,6871348
2021-11-11T00:00:00,662.4,669.85,660.25,667.4,3868489
2021-11-12T00:00:00,672.05,675.75,663.35,671.35,2542949
2021-11-15T00:00:00,675.0,675.05,658.05,661.5,3143670
2021-11-16T00:00:00,658.0,674.0,655.7,664.9,2795558
2021-11-17T00:00:00,660.3,671.7,658.6,662.35,2882577
2021-11-18T00:00:00,663.0,666.9,643.0,650.55,4010171
