Datetime,Open,High,Low,Close,Volume
2021-09-17T00:00:00,2446.0,2455.85,2375.6,2390.55,16098099
2021-09-20T00:00:00,2372.1,2418.35,2370.0,2394.35,5436385
2021-09-21T00:00:00,2405.0,2416.6,2384.0,2404.7,4576111
2021-09-22T00:00:00,2408.0,2442.0,2398.25,2430.5,5074612
2021-09-23T00:00:00,2447.4,2497.0,2445.5,2489.9,7267883
2021-09-24T00:00:00,2503.55,2505.45,2472.0,2482.7,7011181
2021-09-27T00:00:00,2487.0,2529.9,2475.3,2524.45,7095022
2021-09-28T00:00:00,2534.0,2564.9,2512.8,2548.05,8323269
2021-09-29T00:00:00,2570.0,2570.0,2520.05,2527.85,4485721
2021-09-30T00:00:00,2525.0,2534.6,2500.35,2519.25,6272085
2021-10-01T00:00:00,2501.95,2539.8,2495.0,2523.7,4134544
2021-10-04T00:00:00,2553.0,2574.85,2537.05,2556.15,5038910
2021-10-05T00:00:00,2555.1,2612.0,2547.35,2609.2,6245770
2021-10-06T00:00:00,2619.95,2619.95,2551.1,2559.85,4734472
2021-10-07T00:00:00,2595.0,2598.75,2567.7,2572.4,2924370
2021-10-08T00:00:00,2585.25,2684.4,2581.5,2671.25,7279003
2021-10-11T00:00:00,2701.4,2720.0,2645.35,2652.65,6815737
2021-10-12T00:00:00,2645.0,2683.0,2641.25,2667.8,3083747
2021-10-13T00:00:00,2679.0,2719.5,2669.3,2694.95,4596429
2021-10-14T00:00:00,2700.35,2717.45,2687.2,2700.4,3979730
2021-10-18T00:00:00,2668.6,2745.0,2662.3,2707.6,6273850
2021-10-19T00:00:00,2723.8,2751.35,2708.0,2731.85,4076617
2021-10-20T00:00:00,2742.75,2742.75,2691.5,2700.4,5865926
2021-10-21T00:00:00,2727.4,2728.0,2603.2,2622.5,9613812
2021-10-22T00:00:00,2620.0,2664.9,2611.5,2627.4,5089178
2021-10-25T00:00:00,2680.0,2680.0,2570.0,2601.8,7937067
2021-10-26T00:00:00,2617.1,2668.9,2603.15,2661.05,4499706
2021-10-27T00:00:00,2652.0,2676.8,2619.95,2627.4,4567140
2021-10-28T00:00:00,2620.0,2637.95,2590.5,2598.6,4562471
2021-10-29T00:00:00,2596.15,2596.15,2501.7,2536.25,6568539
2021-11-01T00:00:00,2536.25,2556.0,2494.1,2537.8,7144532
2021-11-02T00:00:00,2545.0,2548.0,2495.25,2500.8,4877652
2021-11-03T00:00:00,2506.05,2520.0,2461.0,2483.6,5533120
2021-11-04T00:00:00,2492.95,2504.9,2490.0,2498.85,787160
2021-11-08T00:00:00,2519.4,2520.0,2456.4,2501.95,9385607
2021-11-09T00:00:00,2505.0,2528.9,2487.05,2521.7,7237470
2021-11-10T00:00:00,2516.7,2558.0,2503.65,2549.9,4731975
2021-11-11T00:00:00,2540.05,2570.5,2535.55,2554.55,4948422
2021-11-12T00:00:00,2562.9,2598.75,2557.0,2593.1,4020744
2021-11-15T00:00:00,2600.0,2602.2,2570.0,2577.8,2216708
2021-11-16T00:00:00,2572.05,2575.0,2495.0,2517.9,5232292
2021-11-17T00:00:00,2498.95,2498.95,2461.0,2464.0,4708235
2021-11-18T00:00:00,2460.0,2489.0,2450.05,2473.3,3925345
2021-11-22T00:00:00,2436.1,2449.0,2351.0,2363.75,11133364
2021-11-23T00:00:00,2333.05,2401.25,2309.0,2385.85,11688406
2021-11-24T00:00:00,2380.0,2409.9,2343.55,2351.4,7762564
2021-11-25T00:00:00,2373.0,2502.0,2357.15,2492.95,19568487
2021-11-26T00:00:00,2467.8,2477.6,2401.5,2412.6,7274686
2021-11-29T00:00:00,2439.1,2500.0,2399.1,2441.5,11226147
2021-11-30T00:00:00,2468.0,2475.9,2388.85,2405.4,14847511
2021-12-01T00:00:00,2433.0,2474.0,2425.1,2467.0,4663276
2021-12-02T00:00:00,2469.7,2496.2,2461.6,2482.85,5870468
2021-12-03T00:00:00,2498.4,2498.5,2400.0,2408.25,8871172
2021-12-06T00:00:00,2416.0,2425.0,2357.15,2362.6,4768334
2021-12-07T00:00:00,2376.15,2404.0,2360.0,2381.85,5185007
2021-12-08T00:00:00,2424.1,2431.8,2406.3,2418.1,4035437
2021-12-09T00:00:00,2435.0,2474.9,2425.0,2456.45,6098050
2021-12-10T00:00:00,2440.25,2466.0,2430.35,2458.95,3860176
