Datetime,Open,High,Low,Close,Volume
2021-09-17T00:00:00,233.0,237.3,229.1,231.15,79501805
2021-09-20T00:00:00,231.0,239.35,230.25,233.75,70390969
2021-09-21T00:00:00,234.95,242.45,231.7,241.5,56671832
2021-09-22T00:00:00,243.5,245.8,240.7,243.5,52621868
2021-09-23T00:00:00,245.0,245.6,241.7,242.5,21791090
2021-09-24T00:00:00,244.0,244.0,237.7,238.45,24823291
2021-09-27T00:00:00,239.8,241.85,235.5,238.7,22890540
2021-09-28T00:00:00,239.85,241.6,236.3,237.75,15713947
2021-09-29T00:00:00,236.0,241.4,235.7,238.1,15450046
2021-09-30T00:00:00,239.9,240.4,235.25,236.15,16357902
2021-10-01T00:00:00,235.2,237.0,232.9,235.35,15956143
2021-10-04T00:00:00,236.0,238.35,235.4,236.6,10686552
2021-10-05T00:00:00,236.4,237.45,234.5,234.7,9223597
2021-10-06T00:00:00,234.8,236.4,230.6,231.25,17505160
2021-10-07T00:00:00,233.0,234.95,232.3,232.95,10371535
2021-10-08T00:00:00,234.75,234.8,231.2,231.7,9739240
2021-10-11T00:00:00,232.0,239.5,231.7,238.05,21184428
2021-10-12T00:00:00,238.6,243.0,238.0,241.3,29222028
2021-10-13T00:00:00,242.55,250.9,240.15,249.2,50159625
2021-10-14T00:00:00,253.25,261.85,250.35,256.55,85406902
2021-10-18T00:00:00,261.0,265.3,257.35,262.55,60292901
2021-10-19T00:00:00,261.4,262.55,245.05,245.95,59061766
2021-10-20T00:00:00,245.95,248.5,242.35,246.6,47822165
2021-10-21T00:00:00,248.0,248.35,243.1,244.7,22518727
2021-10-22T00:00:00,244.7,245.8,233.7,236.6,35537151
2021-10-25T00:00:00,234.1,236.65,230.5,233.4,22333919
2021-10-26T00:00:00,234.1,239.0,232.6,236.7,18934170
2021-10-27T00:00:00,240.25,241.3,236.2,238.45,25911499
2021-10-28T00:00:00,235.1,235.95,224.15,225.1,46282465
2021-10-29T00:00:00,225.0,228.25,222.3,223.2,26642108
2021-11-01T00:00:00,224.15,227.55,222.5,226.85,23197539
2021-11-02T00:00:00,228.0,229.25,224.5,225.6,14343859
2021-11-03T00:00:00,226.0,226.85,221.7,222.45,17843327
2021-11-04T00:00:00,224.85,227.3,224.0,226.55,7024796
2021-11-08T00:00:00,229.7,230.7,225.7,229.8,20270558
2021-11-09T00:00:00,229.85,230.9,227.85,228.75,11520817
2021-11-10T00:00:00,227.45,232.85,227.2,230.85,13431108
2021-11-11T00:00:00,230.4,231.5,228.55,230.0,8134962
2021-11-12T00:00:00,231.2,233.95,229.15,232.9,11855531
2021-11-15T00:00:00,233.95,239.0,233.1,238.1,38755267
2021-11-16T00:00:00,239.05,239.65,235.0,235.45,14675969
2021-11-17T00:00:00,236.0,245.25,235.65,239.5,46697822
2021-11-18T00:00:00,240.0,243.0,236.3,237.5,20226071
2021-11-22T00:00:00,237.9,240.75,229.55,230.9,22574227
2021-11-23T00:00:00,229.15,232.7,229.15,231.6,13433385
2021-11-24T00:00:00,232.45,232.7,226.95,227.7,14139854
2021-11-25T00:00:00,227.0,232.2,225.75,231.3,23904846
2021-11-26T00:00:00,228.9,230.05,223.1,224.0,27027022
2021-11-29T00:00:00,222.0,223.65,220.2,221.5,22132952
2021-11-30T00:00:00,222.0,225.2,220.0,221.15,23503453
2021-12-01T00:00:00,222.0,223.3,220.6,221.9,12995800
2021-12-02T00:00:00,221.9,226.15,221.3,225.45,15904846
2021-12-03T00:00:00,225.0,226.2,221.35,221.65,13794647
2021-12-06T00:00:00,221.65,222.2,217.5,217.9,13138355
2021-12-07T00:00:00,218.9,221.95,218.1,220.65,8903842
2021-12-08T00:00:00,221.0,225.65,221.0,224.95,9861847
2021-12-09T00:00:00,223.0,236.45,223.0,235.4,38241864
2021-12-10T00:00:00,236.2,238.95,233.75,236.1,35162889
2021-12-13T00:00:00,238.0,238.75,234.15,234.6,22054342
2021-12-14T00:00:00,235.0,237.1,227.55,228.6,37508445
2021-12-15T00:00:00,230.0,232.2,223.4,224.05,34653042
2021-12-16T00:00:00,226.0,226.15,220.8,222.9,24199205
2021-12-17T00:00:00,222.8,222.85,216.75,217.95,29683982
2021-12-20T00:00:00,216.25,216.25,209.8,212.4,37340790
2021-12-21T00:00:00,214.0,215.45,211.05,212.5,19395604
2021-12-22T00:00:00,214.0,214.2,211.1,212.0,17239484
2021-12-23T00:00:00,213.9,218.45,213.2,217.3,22209720
2021-12-24T00:00:00,218.0,220.45,216.45,218.0,16581585
2021-12-27T00:00:00,218.4,218.45,215.65,217.55,8153106
2021-12-28T00:00:00,218.0,220.6,218.0,220.05,11568803
2021-12-29T00:00:00,220.0,220.3,216.3,216.75,11480954
2021-12-30T00:00:00,216.6,217.9,215.5,216.0,9741198
2021-12-31T00:00:00,216.9,218.8,216.15,218.05,7583815
